edad,x,Dx,Dxm,Dxf
Menores de 1 año,0,22944,12792,10060
1-4 años,1,4700,2529,2170
5-9 años,5,2491,1357,1134
10-14 años,10,3154,1866,1288
15-19 años,15,9125,6578,2547
20-24 años,20,15047,11845,3200
25-29 años,25,18047,14244,3802
30-34 años,30,18736,14320,4415
35-39 años,35,21103,15447,5652
40-44 años,40,25799,17987,7808
45-49 años,45,32924,21588,11333
50-54 años,50,39897,24976,14920
55-59 años,55,49877,29882,19993
60-64 años,60,59134,34149,24982
65-69 años,65,64167,35514,28652
70-74 años,70,69800,38178,31622
75-79 años,75,74325,39162,35161
80-84 años,80,77501,38280,39221
85 años y más,85,134868,58118,76747
